"Tabela 7268 - Pessoas de 14 anos ou mais de idade por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;"2017";;;"2018";;;"2019";;;"2022";;;"2023"
"Unidade da Federação";"Nível de instrução";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda"
"Amazonas";"Total";"2705";"427";"2210";"2748";"463";"2245";"2863";"455";"2349";"2880";"460";"2360";"3022";"515";"2416";"3059";"493";"2456"
"Amazonas";"Sem instrução e fundamental incompleto ou equivalente";"981";"114";"837";"955";"116";"819";"977";"115";"838";"927";"101";"800";"873";"104";"731";"863";"108";"716"
"Amazonas";"Fundamental completo e médio incompleto ou equivalente";"522";"73";"438";"494";"68";"419";"504";"68";"426";"514";"65";"438";"512";"74";"424";"511";"73";"419"
"Amazonas";"Médio completo ou equivalente e superior incompleto";"950";"163";"767";"1019";"175";"832";"1066";"178";"869";"1099";"181";"901";"1250";"229";"989";"1281";"207";"1033"
"Amazonas";"Superior completo";"252";"78";"169";"279";"103";"174";"316";"94";"216";"340";"113";"221";"387";"108";"272";"405";"106";"288"
"Roraima";"Total";"350";"76";"256";"367";"81";"267";"385";"79";"277";"393";"80";"287";"441";"84";"340";"446";"93";"331"
"Roraima";"Sem instrução e fundamental incompleto ou equivalente";"110";"18";"84";"107";"17";"81";"112";"17";"85";"104";"15";"78";"101";"16";"79";"102";"17";"79"
"Roraima";"Fundamental completo e médio incompleto ou equivalente";"65";"13";"48";"69";"13";"53";"68";"13";"48";"69";"11";"52";"81";"14";"62";"81";"13";"64"
"Roraima";"Médio completo ou equivalente e superior incompleto";"127";"28";"94";"142";"33";"103";"147";"30";"106";"158";"31";"119";"194";"35";"153";"192";"38";"144"
"Roraima";"Superior completo";"49";"18";"30";"48";"18";"29";"58";"18";"37";"62";"22";"37";"65";"19";"45";"71";"24";"44"
"Pará";"Total";"6033";"995";"5003";"6132";"1022";"5051";"6243";"1011";"5143";"6290";"1054";"5166";"6557";"1196";"5296";"6672";"1175";"5450"
"Pará";"Sem instrução e fundamental incompleto ou equivalente";"2724";"367";"2343";"2677";"368";"2288";"2655";"339";"2279";"2605";"347";"2233";"2549";"381";"2147";"2477";"361";"2097"
"Pará";"Fundamental completo e médio incompleto ou equivalente";"1198";"199";"993";"1235";"211";"1016";"1223";"191";"1018";"1207";"188";"1004";"1258";"221";"1028";"1253";"208";"1039"
"Pará";"Médio completo ou equivalente e superior incompleto";"1703";"317";"1375";"1791";"321";"1447";"1858";"330";"1498";"1951";"352";"1576";"2100";"418";"1654";"2238";"411";"1812"
"Pará";"Superior completo";"408";"113";"292";"428";"122";"300";"507";"151";"348";"527";"167";"353";"651";"176";"468";"703";"195";"501"
"Amapá";"Total";"528";"103";"420";"552";"93";"458";"560";"92";"461";"580";"98";"478";"600";"116";"476";"613";"100";"507"
"Amapá";"Sem instrução e fundamental incompleto ou equivalente";"163";"23";"138";"171";"25";"146";"177";"25";"151";"169";"21";"146";"167";"23";"142";"160";"19";"140"
"Amapá";"Fundamental completo e médio incompleto ou equivalente";"104";"17";"85";"108";"18";"90";"99";"14";"83";"108";"16";"92";"100";"18";"80";"98";"15";"82"
"Amapá";"Médio completo ou equivalente e superior incompleto";"194";"43";"149";"201";"33";"168";"209";"32";"174";"225";"41";"182";"234";"46";"184";"243";"40";"200"
"Amapá";"Superior completo";"68";"19";"48";"71";"17";"54";"74";"20";"53";"78";"19";"58";"99";"28";"70";"112";"26";"85"
"Tocantins";"Total";"1107";"246";"857";"1126";"235";"884";"1157";"244";"896";"1160";"228";"922";"1218";"256";"939";"1213";"244";"951"
"Tocantins";"Sem instrução e fundamental incompleto ou equivalente";"445";"82";"361";"453";"81";"369";"448";"76";"368";"449";"72";"373";"396";"70";"319";"402";"61";"335"
"Tocantins";"Fundamental completo e médio incompleto ou equivalente";"205";"45";"158";"186";"36";"148";"190";"35";"153";"198";"30";"167";"199";"37";"159";"199";"39";"157"
"Tocantins";"Médio completo ou equivalente e superior incompleto";"355";"83";"270";"364";"77";"285";"378";"85";"286";"371";"77";"290";"435";"90";"336";"422";"84";"331"
"Tocantins";"Superior completo";"103";"35";"67";"124";"42";"82";"141";"48";"89";"142";"49";"92";"188";"60";"125";"190";"60";"128"
"Maranhão";"Total";"4976";"950";"4002";"5037";"871";"4136";"5133";"914";"4152";"5205";"944";"4199";"5320";"923";"4330";"5402";"943";"4377"
"Maranhão";"Sem instrução e fundamental incompleto ou equivalente";"2371";"386";"1973";"2340";"353";"1972";"2302";"340";"1932";"2239";"333";"1878";"2060";"300";"1731";"2061";"293";"1739"
"Maranhão";"Fundamental completo e médio incompleto ou equivalente";"988";"189";"794";"952";"145";"801";"982";"168";"802";"997";"170";"813";"999";"164";"824";"986";"151";"822"
"Maranhão";"Médio completo ou equivalente e superior incompleto";"1354";"297";"1052";"1457";"285";"1165";"1513";"312";"1183";"1608";"339";"1251";"1784";"323";"1438";"1838";"340";"1470"
"Maranhão";"Superior completo";"263";"78";"183";"287";"88";"198";"335";"95";"235";"362";"103";"256";"476";"135";"337";"517";"160";"345"
"Piauí";"Total";"2540";"487";"2049";"2560";"515";"2043";"2577";"455";"2111";"2587";"447";"2130";"2687";"555";"2127";"2697";"541";"2145"
"Piauí";"Sem instrução e fundamental incompleto ou equivalente";"1273";"202";"1069";"1238";"217";"1021";"1225";"179";"1039";"1211";"178";"1027";"1175";"202";"972";"1118";"194";"919"
"Piauí";"Fundamental completo e médio incompleto ou equivalente";"441";"79";"361";"443";"80";"363";"448";"67";"380";"427";"67";"358";"430";"88";"342";"420";"80";"339"
"Piauí";"Médio completo ou equivalente e superior incompleto";"609";"131";"477";"643";"142";"501";"664";"132";"531";"698";"132";"564";"737";"151";"584";"812";"168";"642"
"Piauí";"Superior completo";"218";"75";"142";"235";"77";"158";"239";"77";"161";"251";"70";"180";"345";"115";"230";"347";"100";"246"
"Ceará";"Total";"6901";"1811";"5044";"7030";"1848";"5149";"7113";"1830";"5216";"7119";"1858";"5208";"7427";"2054";"5292";"7412";"1914";"5394"
"Ceará";"Sem instrução e fundamental incompleto ou equivalente";"3069";"670";"2378";"3037";"663";"2361";"2907";"604";"2280";"2874";"628";"2223";"2790";"652";"2098";"2697";"578";"2078"
"Ceará";"Fundamental completo e médio incompleto ou equivalente";"1362";"312";"1042";"1342";"331";"1001";"1350";"300";"1035";"1313";"310";"994";"1322";"337";"973";"1343";"299";"1018"
"Ceará";"Médio completo ou equivalente e superior incompleto";"1988";"601";"1373";"2103";"609";"1486";"2206";"658";"1535";"2239";"610";"1611";"2545";"716";"1803";"2564";"709";"1826"
"Ceará";"Superior completo";"483";"228";"250";"547";"245";"301";"649";"269";"367";"693";"310";"380";"771";"350";"418";"808";"328";"471"
