estado;instrucao;categoria_ano;populacao;ano;raca_cor
Espírito Santo;Total;branca_2019;1116.0;2019;branca
Espírito Santo;Total;preta_parda_2019;1992.0;2019;preta_parda
Espírito Santo;Total;total_2019;3137.0;2019;total
Espírito Santo;Total;branca_2022;1180.0;2022;branca
Espírito Santo;Total;preta_parda_2022;2066.0;2022;preta_parda
Espírito Santo;Total;total_2022;3269.0;2022;total
Espírito Santo;Total;branca_2023;1222.0;2023;branca
Espírito Santo;Total;preta_parda_2023;2044.0;2023;preta_parda
Espírito Santo;Total;total_2023;3284.0;2023;total
Goiás;Total;branca_2016;1865.0;2016;branca
Goiás;Total;preta_parda_2016;3365.0;2016;preta_parda
Goiás;Total;total_2016;5269.0;2016;total
Goiás;Total;branca_2017;1841.0;2017;branca
Goiás;Total;preta_parda_2017;3498.0;2017;preta_parda
Goiás;Total;total_2017;5375.0;2017;total
Goiás;Total;branca_2018;1881.0;2018;branca
Goiás;Total;preta_parda_2018;3520.0;2018;preta_parda
Goiás;Total;total_2018;5455.0;2018;total
Goiás;Total;branca_2019;1926.0;2019;branca
Goiás;Total;preta_parda_2019;3561.0;2019;preta_parda
Goiás;Total;total_2019;5536.0;2019;total
Goiás;Total;branca_2022;2065.0;2022;branca
Goiás;Total;preta_parda_2022;3678.0;2022;preta_parda
Goiás;Total;total_2022;5798.0;2022;total
Goiás;Total;branca_2023;2061.0;2023;branca
Goiás;Total;preta_parda_2023;3737.0;2023;preta_parda
Goiás;Total;total_2023;5856.0;2023;total
Maranhão;Total;branca_2016;950.0;2016;branca
Maranhão;Total;preta_parda_2016;4002.0;2016;preta_parda
Maranhão;Total;total_2016;4976.0;2016;total
Maranhão;Total;branca_2017;871.0;2017;branca
Maranhão;Total;preta_parda_2017;4136.0;2017;preta_parda
Maranhão;Total;total_2017;5037.0;2017;total
Maranhão;Total;branca_2018;914.0;2018;branca
Maranhão;Total;preta_parda_2018;4152.0;2018;preta_parda
Maranhão;Total;total_2018;5133.0;2018;total
Maranhão;Total;branca_2019;944.0;2019;branca
Maranhão;Total;preta_parda_2019;4199.0;2019;preta_parda
Maranhão;Total;total_2019;5205.0;2019;total
Maranhão;Total;branca_2022;923.0;2022;branca
Maranhão;Total;preta_parda_2022;4330.0;2022;preta_parda
Maranhão;Total;total_2022;5320.0;2022;total
Maranhão;Total;branca_2023;943.0;2023;branca
Maranhão;Total;preta_parda_2023;4377.0;2023;preta_parda
Maranhão;Total;total_2023;5402.0;2023;total
Mato Grosso;Total;branca_2016;828.0;2016;branca
Mato Grosso;Total;preta_parda_2016;1732.0;2016;preta_parda
Mato Grosso;Total;total_2016;2577.0;2016;total
Mato Grosso;Total;branca_2017;825.0;2017;branca
Mato Grosso;Total;preta_parda_2017;1763.0;2017;preta_parda
Mato Grosso;Total;total_2017;2607.0;2017;total
Mato Grosso;Total;branca_2018;823.0;2018;branca
Mato Grosso;Total;preta_parda_2018;1840.0;2018;preta_parda
Mato Grosso;Total;total_2018;2697.0;2018;total
Mato Grosso;Total;branca_2019;809.0;2019;branca
Mato Grosso;Total;preta_parda_2019;1874.0;2019;preta_parda
Mato Grosso;Total;total_2019;2716.0;2019;total
Mato Grosso;Total;branca_2022;851.0;2022;branca
Mato Grosso;Total;preta_parda_2022;1968.0;2022;preta_parda
Mato Grosso;Total;total_2022;2855.0;2022;total
Mato Grosso;Total;branca_2023;908.0;2023;branca
Mato Grosso;Total;preta_parda_2023;1977.0;2023;preta_parda
Mato Grosso;Total;total_2023;2916.0;2023;total
Mato Grosso do Sul;Total;branca_2016;855.0;2016;branca
Mato Grosso do Sul;Total;preta_parda_2016;1143.0;2016;preta_parda
Mato Grosso do Sul;Total;total_2016;2028.0;2016;total
Mato Grosso do Sul;Total;branca_2017;893.0;2017;branca
Mato Grosso do Sul;Total;preta_parda_2017;1135.0;2017;preta_parda
Mato Grosso do Sul;Total;total_2017;2062.0;2017;total
Mato Grosso do Sul;Total;branca_2018;914.0;2018;branca
Mato Grosso do Sul;Total;preta_parda_2018;1119.0;2018;preta_parda
Mato Grosso do Sul;Total;total_2018;2074.0;2018;total
Mato Grosso do Sul;Total;branca_2019;889.0;2019;branca
Mato Grosso do Sul;Total;preta_parda_2019;1169.0;2019;preta_parda
Mato Grosso do Sul;Total;total_2019;2100.0;2019;total
Mato Grosso do Sul;Total;branca_2022;905.0;2022;branca
Mato Grosso do Sul;Total;preta_parda_2022;1221.0;2022;preta_parda
Mato Grosso do Sul;Total;total_2022;2169.0;2022;total
Mato Grosso do Sul;Total;branca_2023;947.0;2023;branca
Mato Grosso do Sul;Total;preta_parda_2023;1243.0;2023;preta_parda
Mato Grosso do Sul;Total;total_2023;2234.0;2023;total
Minas Gerais;Total;branca_2016;6876.0;2016;branca
Minas Gerais;Total;preta_parda_2016;9791.0;2016;preta_parda
Minas Gerais;Total;total_2016;16709.0;2016;total
Minas Gerais;Total;branca_2017;6585.0;2017;branca
Minas Gerais;Total;preta_parda_2017;10122.0;2017;preta_parda
Minas Gerais;Total;total_2017;16752.0;2017;total
Minas Gerais;Total;branca_2018;6690.0;2018;branca
Minas Gerais;Total;preta_parda_2018;10192.0;2018;preta_parda
